# TAG_PARAM_ALIGNMENT_AUDIT.csv — v1.0 | Generated 2026-06-08
# Cross-reference: all parameters in STING_TAG_CONFIG_v5_0_*.csv vs MR_PARAMETERS / PARAMETER_CATEGORIES / FAMILY_PARAMETER_BINDINGS / FORMULAS
# Status: OK = all checks pass | WARN = missing from FPB only | ERROR = critical mismatch
ParameterName,Group,DataType_TagCSV,Default_TagCSV,In_MR_PARAMETERS,MR_GUID,MR_DataType,MR_Group,In_PARAMETER_CATEGORIES,In_FAMILY_PARAMETER_BINDINGS,In_FORMULAS,In_Files,In_Catalog_Files,In_Data_Files,Status,Issues
ASS_CST_UNIT_PRICE_UGX_NR,,,,Y,57d29e0c-b1ef-50e6-9c3d-d58e751c9f49,TEXT,ASS_MNG,Y,Y,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_CST_UNIT_RATE_NR_DISP_TXT,,,,Y,465171ad-d9b5-54c2-a002-86cbff6f15cf,TEXT,CST_PROC,N,N,Y,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_DEPARTMENT_ASSIGNMENT_TXT,,,,Y,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ASS_DESCRIPTION_TXT,,,,Y,3ee68ef4-0cad-505f-a973-8817e9cf5d08,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,OK,
ASS_DESIGN_LTG_LVL_LUX_NR,,,,Y,bfacc484-130a-5d4f-ab93-6980d071f989,TEXT,ASS_MNG,Y,Y,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ASS_DESIGN_OPTION_TXT,,,,Y,88e92abe-385f-55a3-8734-43458adb98f2,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_EXPECTED_LIFE_YEARS_YRS,,,,Y,3bc7b880-b296-532f-9faf-8c41d69df5c3,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|GEN_DC|MEP|MEP_DC|STR_DC,,ARCH|ARCH_DC|GEN_DC|MEP|MEP_DC|STR_DC,OK,
ASS_FAB_STATUS_TXT,,,,Y,29ba93ba-238e-5aad-930a-a621b0f43b5b,TEXT,ASS_MNG,N,N,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_FLOW_RATE_TXT,,,,Y,d9a5078f-1c08-56f9-b4e0-5feeb97692e0,TEXT,HVC_SYSTEMS,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_FUNC_TXT,,,,Y,1ddff9a8-6e66-4a93-88fe-f3b94fbd5710,TEXT,ASS_MNG,Y,Y,Y,GEN|GEN_DC,,GEN|GEN_DC,OK,
ASS_GRID_REF_TXT,,,,Y,e74bcb65-d0f2-5ced-9576-184678b62c0b,TEXT,ASS_MNG,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ASS_ID_TXT,,,,Y,8e35ebf9-4a16-5901-b566-4a5e0edd17aa,TEXT,ASS_MNG,Y,Y,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_INSTALL_DATE_TXT,,,,Y,953575a9-1d0c-5bb5-a4d2-c52b4b4adf96,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_ITEM_CODE_TXT,,,,Y,d2e3f4a5-b6c7-4d8e-9f0a-1b2c3d4e5f6a,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_KEYNOTE_TXT,,,,Y,a1b2c3d4-501f-4a01-b001-000000000131,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_LOC_TXT,,,,Y,b7469c27-c80e-5b59-b999-1a99ba620cd1,TEXT,ASS_MNG,Y,Y,N,GEN|GEN_DC,,GEN|GEN_DC,OK,
ASS_LVL_COD_TXT,,,,Y,b1e51fab-fa88-50df-8b2f-bcdbe48e7c78,TEXT,ASS_MNG,Y,Y,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_MAINTENANCE_FREQUENCY_MONTHS,,,,Y,a52cf606-da2b-516a-9f18-e37000a4c329,TEXT,ASS_MNG,Y,Y,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_MANUFACTURER_TXT,,,,Y,822bb665-a508-5268-b490-28d8546d6300,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,OK,
ASS_MODEL_NR_TXT,,,,Y,305de400-5d2f-54f6-a4ed-acc93f5a1ab2,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|GEN_DC|MEP|MEP_DC|STR_DC,,ARCH|ARCH_DC|GEN_DC|MEP|MEP_DC|STR_DC,OK,
ASS_MODEL_REF_TXT,,,,Y,a1b2c3d4-5011-4a01-b001-000000000117,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_PMT_CERT_DATE_DT,,,,Y,b9d4e1a2-7c63-4f89-9e0a-1f5a2c8b3d52,TEXT,CST_PROC,Y,Y,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_PMT_CERT_NO_NR_DISP_TXT,,,,Y,1fee3b2b-7f2a-56a5-9d89-81d40113b725,TEXT,CST_PROC,N,N,Y,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_PMT_LAST_VALUED_DT,,,,Y,b9d4e1a2-7c63-4f89-9e0a-1f5a2c8b3d53,TEXT,CST_PROC,Y,Y,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_PMT_PCT_COMPLETE_NR_DISP_TXT,,,,Y,f27e6d2a-a647-5fd5-9c41-9ef2a54f22e3,TEXT,CST_PROC,N,N,Y,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_POWER_RATING_TXT,,,,Y,28c52839-f0b9-55f6-bc9e-7cad2149acc3,TEXT,ELC_PWR,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_PRODCT_COD_TXT,,,,Y,082a2a05-3387-5501-b355-51dd45e23e9f,TEXT,ASS_MNG,Y,Y,N,GEN|GEN_DC,,GEN|GEN_DC,OK,
ASS_QC_INSPECTOR_TXT,,,,Y,a028f908-b100-53bc-b21a-1a0a6a03ffac,TEXT,ASS_MNG,N,N,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_ROOM_AREA_SQ_M,,,,Y,1514d5cf-3d32-5a68-b5cb-f18d97060e9f,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|MEP|MEP_DC,,ARCH|ARCH_DC|MEP|MEP_DC,OK,
ASS_SERIAL_NR_TXT,,,,Y,56584938-d8f5-5c70-9ca1-2ac4568e9ff9,TEXT,ASS_MNG,Y,Y,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_SPOOL_NR_TXT,,,,Y,1a4353be-eaaa-5e46-95ee-b64a74667194,TEXT,ASS_MNG,N,N,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_STATUS_TXT,,,,Y,b97665a8-5e34-585b-9674-fbdd83d7637f,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,OK,
ASS_SYSTEMS_TXT,,,,Y,e3f4a5b6-c7d8-4e9f-a0b1-2c3d4e5f6a7b,TEXT,ASS_MNG,N,N,N,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,OK,
ASS_SYSTEM_TYPE_TXT,,,,Y,2b3658d9-bfc6-56db-9df5-901337fde0f5,TEXT,ASS_MNG,Y,Y,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TAG_1_TXT,,,,Y,1eeb577d-342d-5039-97f1-f1dd8d80c8c4,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,OK,
ASS_TAG_2_TXT,,,,Y,bf6cb687-478f-459a-8c5d-ece073c24831,TEXT,ASS_MNG,Y,Y,N,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,,ARCH|ARCH_DC|GEN|GEN_DC|MEP|MEP_DC|STR|STR_DC,OK,
ASS_TAG_7_PARA_EQUIPMENT_TXT,,,,Y,e9d487a5-e6d7-53f3-a5d8-280d247952d0,TEXT,ASS_MNG,Y,N,Y,GEN|GEN_DC|MEP|MEP_DC,,GEN|GEN_DC|MEP|MEP_DC,OK,
ASS_TERM_CAPPED_BOOL,,,,Y,f4a5b6c7-d8e9-4f0a-b1c2-3d4e5f6a7b8c,TEXT,ASS_MNG,N,N,N,MEP_DC,,MEP_DC,OK,
ASS_TERM_REASON_TXT,,,,Y,a5b6c7d8-e9f0-4a1b-c2d3-4e5f6a7b8c9d,TEXT,ASS_MNG,N,N,N,MEP_DC,,MEP_DC,OK,
ASS_TIEIN_BY_TXT,,,,Y,faebac20-d848-42bb-9659-7ea1773499f9,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TIEIN_CONNECTED_BOOL,,,,Y,675b0c39-6577-4dd2-b7d0-ecb5501987ce,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TIEIN_ELEV_TXT,,,,Y,5ce9a926-497f-4403-ba63-03342f208313,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TIEIN_FLOW_DIR_TXT,,,,Y,5ce85a72-707e-4af9-8521-ed872c8793c8,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TIEIN_IFC_REF_TXT,,,,Y,06a09689-3d8a-4b24-8483-37959f648f89,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TIEIN_PHASE_TXT,,,,Y,e98813a4-3ca9-4f70-bc7b-c4ac37b088e0,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TIEIN_STATUS_TXT,,,,Y,1b76c524-7911-4829-bd55-5a1bdbfa2f6b,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TIEIN_TAG_1_TXT,,,,Y,e169cb1f-3f9e-4897-8312-7d06c1cb2ee5,TEXT,ASS_MNG,N,N,N,MEP|MEP_DC,,MEP|MEP_DC,OK,
ASS_TRACE_SEQ_NR_DISP_TXT,,,,Y,d66a235f-2250-590a-8a9f-b5bd78f330da,TEXT,ASS_MNG,N,N,Y,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_UNICLASS_2015_TXT,,,,Y,211dbcbc-361e-513e-a25c-ba0c730c6409,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_VAR_INSTRUCTION_DT,,,,Y,b9d4e1a2-7c63-4f89-9e0a-1f5a2c8b3d61,TEXT,CST_PROC,Y,Y,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_VAR_NO_TXT,,,,Y,b9d4e1a2-7c63-4f89-9e0a-1f5a2c8b3d60,TEXT,CST_PROC,Y,Y,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_VAR_VALUATION_NR_DISP_TXT,,,,Y,8854c07f-d664-545c-a5a3-89c0be61961a,TEXT,CST_PROC,N,N,Y,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ASS_WARRANTY_DURATION_PARTS_YRS,,,,Y,2d93e44d-2520-5108-ae5c-680043fe53db,TEXT,ASS_MNG,Y,Y,N,ARCH,,ARCH,OK,
ASS_WARRANTY_LABOR_TXT,,,,Y,185175fb-822c-5978-9955-1ffd1fa2025c,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_WARRANTY_PARTS_TXT,,,,Y,400e0672-13f4-5383-aa9d-9f276864d677,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_WARRANTY_TXT,,,,Y,b3c4d5e6-f7a8-4b9c-0d1e-2f3a4b5c6d7a,TEXT,ASS_MNG,N,N,N,ARCH_DC|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN_DC|MEP_DC|STR_DC,OK,
ASS_ZONE_TXT,,,,Y,dc0d940f-e4ce-5e73-a0a7-fc7094148c84,TEXT,ASS_MNG,Y,Y,N,ARCH_DC|GEN|GEN_DC|MEP_DC|STR_DC,,ARCH_DC|GEN|GEN_DC|MEP_DC|STR_DC,OK,
BLE_CASEWORK_ACCESSIBLE_BOOL,,,,Y,8c2b44a9-cc06-408d-af91-0f14499042c4,TEXT,CST_PROC,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CASEWORK_COUNTERTOP_TXT,,,,Y,3592eb3b-308a-42b5-a14c-0b18f19b8d6b,TEXT,CST_PROC,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CASEWORK_HARDWARE_TXT,,,,Y,fe571646-cbb4-496f-95b7-dbff007a5d53,TEXT,CST_PROC,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CASEWORK_MATERIAL_TXT,,,,Y,222b02d7-63ab-487b-8d92-2e2f6962dd48,TEXT,CST_PROC,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CASEWORK_TYPE_TXT,,,,Y,47bc2ee9-61de-4a7d-9a90-f050d45d530d,TEXT,CST_PROC,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CBL_TRAY_DEPTH_MM_DISP_TXT,,,,Y,d35d7a52-5b70-5128-bdd6-6a265190b471,TEXT,BLE_ELES,N,N,Y,MEP|MEP_DC,,MEP|MEP_DC,OK,
BLE_CBL_TRAY_WIDTH_MM_DISP_TXT,,,,Y,d6ff6b02-0aca-5fdb-abf3-cdc24966d9a1,TEXT,BLE_ELES,N,N,Y,MEP|MEP_DC,,MEP|MEP_DC,OK,
BLE_CEILING_FINISH_TXT,,,,Y,7fc24153-41ea-5f24-b53a-31e8d69ce44f,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CEILING_GRID_TXT,,,,Y,fbdca2f3-3f9b-52f8-864b-70a50c5618f7,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CEILING_HEIGHT_MM,,,,Y,b1eaf7da-66bc-50d7-8261-eba13ac865e6,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CEILING_MAT_TXT,,,,Y,38f20d97-20e0-5896-a8c5-ac8e20d9beb3,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CEILING_NOISE_REDUCTION_COEFFICIENT_NRC_NR,,,,Y,9d7fa63d-6e32-508e-9487-30ed356c33dd,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_CEILING_TYPE_CLASSIFICATION_TXT,,,,Y,8ffdf285-c7d0-5751-99d5-049f16349af2,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_COLUMN_SLENDERNESS,,,,Y,fcfbe043-f427-5f06-8b50-d7297033dad9,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_CLOSER_TXT,,,,Y,affb9e38-e1db-5a54-ab28-0dc494c3776a,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_GLAZING_BOOL,,,,Y,acbffcf6-2553-519d-91d9-3bc9264c8304,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_HARDWARE_SPECIFICATION_TXT,,,,Y,0c1496c9-bbad-5d9d-90ce-1f9b51624a30,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_HEIGHT_MM,,,,Y,e4519d6e-f603-593f-8262-bbbe441bba02,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_MAT_TXT,,,,Y,62b05126-9f63-5527-8dd5-27191a89ec54,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_OPERATION_TYPE_TXT,,,,Y,bff64a93-fef7-5ade-b444-0d92a8a98a95,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_THRESHOLD_TXT,,,,Y,80711d71-6a16-4a57-85f9-cd628ac9e924,TEXT,CST_PROC,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_TYPE_TXT,,,,Y,52fe10d6-2e18-451d-8473-106ce64fd68e,TEXT,CST_PROC,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_DOOR_WIDTH_MM,,,,Y,0fc57b7c-5ae3-5ace-a5b2-5ab7a79493a8,TEXT,CST_PROC,Y,Y,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_ELE_AREA_SQ_M,,,,Y,d31ebc0e-6721-5d60-be6b-5bb5e9bb0f3d,TEXT,CST_PROC,Y,Y,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_FINISH_TXT,,,,Y,2808be20-c49b-5167-868e-fc894cf8161d,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_FLOOR_LOAD_KN_M2,,,,Y,da0a0762-c687-5c51-997b-a4138428383c,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_FLOOR_SLIP_RESISTANCE_TXT,,,,Y,bc4a861d-6534-5931-a6a0-b5f3b54c6e56,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_FLOOR_WATERPROOF_TXT,,,,Y,845803b9-d82a-5050-922b-79592abd899b,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_FLR_AREA_SQ_M,,,,Y,40b706ca-f0f0-5672-b74c-6b72a83442cc,TEXT,BLE_ELES,Y,Y,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_FLR_FINISH_MAT_TXT,,,,Y,b3a80a61-ac59-5361-8560-0137487aaec3,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
BLE_FLR_FINISH_TXT,,,,Y,0d0457b1-3847-5da5-87e9-ac88a720b1c8,TEXT,CST_PROC,Y,Y,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
